Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HL_5N2_t6_R3	HL_5N2_t6_R3.gz	Conventional base calls	Sanger / Illumina 1.9	70630.0	1.5 Mbp	0.0	1-100	45.0	8.023502760866487	21.88973523998301	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
HL_5N2_t6_R4	HL_5N2_t6_R4.gz	Conventional base calls	Sanger / Illumina 1.9	116197.0	2.5 Mbp	0.0	12-100	46.0	7.118083943647427	21.909791130579965	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
HL_5N2_t7_R1	HL_5N2_t7_R1.gz	Conventional base calls	Sanger / Illumina 1.9	66315.0	1.5 Mbp	0.0	19-100	46.0	10.13194601523034	23.18528236447259	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
HL_5N2_t7_R2	HL_5N2_t7_R2.gz	Conventional base calls	Sanger / Illumina 1.9	33322.0	801.7 kbp	0.0	12-100	47.0	11.965068123161874	24.016985775163555	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
HL_5N2_t7_R3	HL_5N2_t7_R3.gz	Conventional base calls	Sanger / Illumina 1.9	11374.0	254.5 kbp	0.0	19-100	46.0	12.379110251450678	22.290135396518377	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
HL_5N2_t7_R4	HL_5N2_t7_R4.gz	Conventional base calls	Sanger / Illumina 1.9	36141.0	816.1 kbp	0.0	18-100	46.0	10.077197642566613	22.520572203314796	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t0_R1	LD_N2_t0_R1.gz	Conventional base calls	Sanger / Illumina 1.9	151224.0	3.4 Mbp	0.0	19-100	45.0	8.60247050732688	22.51364862720203	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t0_R2	LD_N2_t0_R2.gz	Conventional base calls	Sanger / Illumina 1.9	46913.0	1 Mbp	0.0	12-100	46.0	9.916227911239956	22.371410909555987	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t0_R3	LD_N2_t0_R3.gz	Conventional base calls	Sanger / Illumina 1.9	106863.0	2.4 Mbp	0.0	13-100	45.0	9.676876000112292	22.72322506386682	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t1_R1	LD_N2_t1_R1.gz	Conventional base calls	Sanger / Illumina 1.9	65040.0	1.4 Mbp	0.0	13-100	45.0	10.519680196801968	22.848370233702337	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t1_R2	LD_N2_t1_R2.gz	Conventional base calls	Sanger / Illumina 1.9	37677.0	838.1 kbp	0.0	18-100	45.0	9.833585476550681	22.164822039971334	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t1_R3	LD_N2_t1_R3.gz	Conventional base calls	Sanger / Illumina 1.9	221405.0	4.9 Mbp	0.0	6-100	45.0	7.203992683092071	22.196355095865044	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t2_R1	LD_N2_t2_R1.gz	Conventional base calls	Sanger / Illumina 1.9	60887.0	1.3 Mbp	0.0	13-100	45.0	9.061047514247706	21.93151247392711	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t2_R2	LD_N2_t2_R2.gz	Conventional base calls	Sanger / Illumina 1.9	105891.0	2.3 Mbp	0.0	15-100	44.0	9.071592486613593	22.542690124750923	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t2_R3	LD_N2_t2_R3.gz	Conventional base calls	Sanger / Illumina 1.9	321560.0	7.1 Mbp	0.0	7-100	45.0	6.543102375917402	22.05906829207613	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t3_R1	LD_N2_t3_R1.gz	Conventional base calls	Sanger / Illumina 1.9	37208.0	820.4 kbp	0.0	12-100	44.0	9.15125779402279	21.956568479896795	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t3_R2	LD_N2_t3_R2.gz	Conventional base calls	Sanger / Illumina 1.9	2835.0	65.2 kbp	0.0	19-100	44.0	17.742504409171076	22.886067019400354	20	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t3_R3	LD_N2_t3_R3.gz	Conventional base calls	Sanger / Illumina 1.9	238056.0	5.4 Mbp	0.0	9-100	45.0	8.307289041233995	22.640748395335553	20	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
LD_N2_t4_R1	LD_N2_t4_R1.gz	Conventional base calls	Sanger / Illumina 1.9	95639.0	2.1 Mbp	0.0	0-100	43.0	7.889041081567143	22.138771839939775	20	pass	fail	fail	pass	fail	fail	pass	fail	fail	fail	pass
LD_N2_t4_R2	LD_N2_t4_R2.gz	Conventional base calls	Sanger / Illumina 1.9	3866.0	88.9 kbp	0.0	20-100	43.0	16.37351267459907	22.86445938954992	20	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t4_R3	LD_N2_t4_R3.gz	Conventional base calls	Sanger / Illumina 1.9	251287.0	5.5 Mbp	0.0	12-100	46.0	6.2156020804896395	21.92885425827838	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t5_R1	LD_N2_t5_R1.gz	Conventional base calls	Sanger / Illumina 1.9	23636.0	537.8 kbp	0.0	19-100	43.0	12.04518531054324	22.62370959553224	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t5_R2	LD_N2_t5_R2.gz	Conventional base calls	Sanger / Illumina 1.9	152544.0	3.3 Mbp	0.0	18-100	43.0	6.660373400461506	21.78491451646738	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
LD_N2_t5_R3	LD_N2_t5_R3.gz	Conventional base calls	Sanger / Illumina 1.9	50859.0	1.1 Mbp	0.0	19-100	46.0	9.557797046737058	22.234412788297057	20	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
